PPG
10816
7336
8673
10044
11427
12836
14266
15706
17157
18613
20090
21567
23055
24545
26050
27551
29055
30549
32082
33587
35101
36603
38109
39604
41080
41069
41044
41013
40990
40967
40947
40929
40909
40898
40892
40878
40875
40870
40870
40867
40862
40865
40866
40863
40865
40863
40872
40868
40873
40883
40893
40899
40910
40918
40930
40943
40960
40966
40984
41000
41013
41029
41045
41064
41080
41091
41096
41096
41081
41064
41045
41028
41009
40993
40978
40972
40966
40966
40961
40963
40964
40972
40972
40974
40976
40976
40980
40982
40984
40993
40998
41003
41011
41024
41032
41050
41061
41070
41086
41101
41119
41130
41145
41162
41182
41193
41203
41214
41202
41192
41175
41155
41139
41124
41110
41098
41095
41084
41084
41086
41094
41093
41098
41104
41106
41099
41108
41110
41108
41113
41119
41124
41128
41146
41151
41164
41173
41186
41192
41204
41218
41231
41247
41261
41276
41286
41295
41297
41284
41265
41234
41216
41190
41172
41149
41125
41116
41107
41097
41093
41088
41091
41087
41081
41079
41076
41074
41072
41066
41069
41069
41070
41073
41078
41079
41089
41101
41102
41115
41119
41134
41140
41149
41165
41169
41185
41183
41181
41158
41126
41097
41069
41038
41000
40977
40954
40932
40905
40883
40874
40860
40856
40846
40831
40829
40814
40805
40800
40793
40786
40784
40781
40780
40780
40780
40781
40783
40789
40793
40804
40813
40820
40835
40846
40858
40868
40884
40885
40875
40855
40827
40801
40771
40738
40709
40683
40662
40637
40626
40610
40595
40586
40576
40573
40567
40559
40555
40548
40547
40548
40548
40558
40557
40567
40570
40576
40580
40584
40591
40600
40608
40616
40626
40639
40651
40661
40675
40686
40686
40672
40651
40621
40589
40559
40528
40500
40470
40446
40426
40410
40396
40381
40379
40372
40366
40364
40356
40353
40345
40344
40342
40346
40348
40349
40357
40362
40369
40380
40390
40398
40416
40427
40440
40454
40467
40485
40502
40518
40522
40515
40504
40482
40459
40433
40414
40395
40373
40359
40350
40338
40337
40336
40340
40338
40341
40344
40347
40348
40344
40350
40356
40359
40366
40375
40384
40396
40411
40417
40432
40446
40460
40477
40496
40511
40528
40552
40564
40568
40571
40551
40527
40502
40469
40456
40435
40416
40407
40392
40388
40383
40384
40389
40393
40394
40398
40400
40402
40406
40408
40413
40422
40430
40439
40444
40458
40469
40485
40498
40512
40524
40542
40559
40576
40595
40610
40619
40619
40604
40578
40554
40526
40497
40474
40454
40432
40414
40403
40393
40386
40383
40381
40387
40385
40387
40384
40386
40381
40384
40389
40394
40400
40411
40418
40426
40440
40451
40464
40482
40496
40513
40526
40539
40559
40572
40585
40587
40572
40550
40520
40493
40464
40431
40409
40390
40369
40351
40337
40327
40319
40317
40319
40318
40323
40322
40320
40325
40328
40330
40332
40341
40347
40357
40367
40373
40397
40404
40420
40437
40450
40469
40486
40506
40522
40540
40550
40552
40541
40521
40487
40464
40437
40406
40388
40367
40348
40335
40327
40316
40318
40316
40319
40321
40328
40323
40326
40329
40330
40338
40342
40352
40366
40372
40384
40397
40407
40425
40440
40453
40475
40492
40513
40526
40545
40567
40584
40594
40589
40576
40554
40531
40504
40479
40453
40438
40420
40407
40393
40390
40386
40381
40387
40390
40396
40395
40396
40400
40400
40406
40412
40418
40426
40436
40449
40458
40469
40490
40502
40519
40533
40552
40570
40584
40607
40624
40646
40659
40682
40693
40693
40681
40666
40641
40618
40596
40569
40554
40533
40531
40516
40508
40512
40510
40516
40519
40525
40525
40527
40528
40541
40542
40545
40555
40565
40577
40583
40597
40616
40626
40642
40657
40674
40688
40710
40724
40744
40764
40783
40807
40818
40842
40849
40854
40842
40829
40808
40786
40775
40759
40749
40742
40737
40734
40741
40743
40757
40760
40765
40772
40776
40780
40786
40793
40799
40809
40818
40827
40838
40853
40870
40879
40897
40916
40936
40948
40968
40984
41000
41019
41040
41056
41080
41089
41090
41081
41066
41049
41030
41008
40992
40984
40978
40981
40976
40979
40985
40997
41002
41011
41016
41026
41023
41030
41038
41046
41052
41062
41073
41081
41095
41105
41122
41137
41155
41168
41182
41198
41214
41234
41252
41268
41285
41298
41301
41296
41277
41251
41227
41204
41187
41165
41156
41152
41148
41137
41136
41134
41135
41146
41148
41145
41149
41150
41155
41152
41157
41162
41172
41175
41185
41194
41204
41216
41231
41240
41255
41264
41279
41295
41309
41328
41340
41358
41362
41360
41348
41327
41299
41275
41248
41223
41204
41186
41171
41158
41149
41147
41137
41141
41145
41140
41137
41137
41140
41139
41143
41143
41143
41147
41153
41157
41165
41173
41184
41197
41205
41216
41228
41242
41260
41269
41282
41298
41312
41321
41324
41307
41287
41257
41231
41202
